"MatchId";"Team";"Min";"Pts";"O";"D";"T";"As";"St";"To";"Fv";"Ag";"Cm";"Rv";"PIR";"x2M";"x2A";"x3M";"x3A";"FTM";"FTA";"Opponent";"Local"
186;"Fenerbahce Beko Istanbul";200;73;6;23;29;22;8;13;0;5;17;18;85;17;29;10;26;9;11;"AX Armani Exchange Milan";1
187;"Zalgiris Kaunas";200;104;18;26;44;27;6;10;2;1;27;17;125;25;46;14;27;12;15;"ALBA Berlin";1
188;"Panathinaikos OPAP Athens";200;100;11;22;33;25;5;13;7;1;17;17;128;28;46;13;20;5;8;"LDLC ASVEL Villeurbanne";1
189;"Real Madrid";200;75;13;20;33;19;7;11;3;1;21;14;79;18;35;11;33;6;6;"Anadolu Efes Istanbul";1
19;"CSKA Moscow";200;99;18;20;38;15;8;9;1;6;20;19;101;23;45;14;29;11;18;"Khimki Moscow Region";1
190;"Khimki Moscow Region";200;69;6;24;30;15;6;18;3;1;19;17;64;7;20;14;35;13;17;"CSKA Moscow";1
191;"ALBA Berlin";200;70;4;19;23;19;8;13;1;4;18;21;77;17;34;8;19;12;14;"Fenerbahce Beko Istanbul";1
192;"Olympiacos Piraeus";200;80;7;28;35;22;3;14;4;1;19;24;107;18;27;10;27;14;15;"KIROLBET Baskonia Vitoria-Gasteiz";1
193;"Maccabi FOX Tel Aviv";200;77;13;18;31;18;8;19;0;8;25;16;58;16;35;11;29;12;15;"Real Madrid";1
194;"LDLC ASVEL Villeurbanne";200;74;14;19;33;15;3;10;3;0;22;23;79;17;36;6;24;22;25;"Zalgiris Kaunas";1
195;"FC Barcelona";200;90;9;21;30;22;7;13;3;1;18;15;104;17;27;17;36;5;7;"Zenit St Petersburg";1
196;"AX Armani Exchange Milan";200;79;9;18;27;17;3;13;4;1;25;22;77;16;28;11;29;14;20;"FC Bayern Munich";1
197;"Crvena Zvezda mts Belgrade";200;78;15;20;35;20;10;14;3;5;17;19;86;19;44;8;24;16;18;"Anadolu Efes Istanbul";1
198;"Valencia Basket";200;94;10;26;36;18;7;11;5;2;13;21;116;21;40;14;29;10;15;"Panathinaikos OPAP Athens";1
199;"CSKA Moscow";200;80;14;21;35;14;6;13;3;1;17;20;86;17;27;10;37;16;20;"Anadolu Efes Istanbul";1
2;"Panathinaikos OPAP Athens";200;87;7;25;32;14;8;13;4;2;17;27;107;26;43;5;13;20;28;"Crvena Zvezda mts Belgrade";1
20;"Zalgiris Kaunas";200;86;13;23;36;22;7;8;0;2;24;20;103;24;49;8;16;14;15;"Real Madrid";1
200;"Zalgiris Kaunas";200;94;6;18;24;20;6;8;1;2;22;17;103;20;35;14;22;12;16;"Olympiacos Piraeus";1
201;"LDLC ASVEL Villeurbanne";200;75;13;18;31;17;14;14;3;1;19;22;90;21;38;6;19;15;23;"FC Bayern Munich";1
202;"AX Armani Exchange Milan";200;96;10;20;30;28;6;11;3;0;27;23;110;20;33;12;33;20;24;"ALBA Berlin";1
203;"Real Madrid";200;70;16;17;33;14;5;11;5;2;16;22;77;21;41;6;26;10;13;"KIROLBET Baskonia Vitoria-Gasteiz";1
204;"Zenit St Petersburg";200;68;12;16;28;14;7;13;1;2;17;24;70;19;28;6;29;12;20;"Fenerbahce Beko Istanbul";1
205;"Crvena Zvezda mts Belgrade";200;78;7;25;32;13;9;8;3;4;20;27;85;19;41;5;19;25;34;"Panathinaikos OPAP Athens";1
206;"Maccabi FOX Tel Aviv";200;80;14;30;44;13;3;10;3;4;18;22;85;21;46;10;25;8;16;"Khimki Moscow Region";1
207;"Valencia Basket";200;76;14;23;37;17;7;11;2;0;18;24;87;16;28;11;37;11;20;"FC Barcelona";1
208;"Anadolu Efes Istanbul";200;96;8;19;27;14;7;9;3;2;17;23;115;23;38;10;21;20;21;"Zalgiris Kaunas";1
209;"ALBA Berlin";200;97;15;20;35;21;6;8;0;4;23;22;106;18;46;14;25;19;20;"Real Madrid";1
21;"Fenerbahce Beko Istanbul";200;87;7;27;34;21;5;15;3;6;25;26;98;24;42;9;18;12;17;"KIROLBET Baskonia Vitoria-Gasteiz";1
210;"Olympiacos Piraeus";200;72;19;26;45;15;14;12;6;1;17;25;95;16;43;7;25;19;26;"CSKA Moscow";1
211;"KIROLBET Baskonia Vitoria-Gasteiz";200;79;11;31;42;17;4;14;0;3;22;20;88;21;42;7;16;16;21;"LDLC ASVEL Villeurbanne";1
212;"Khimki Moscow Region";200;78;10;26;36;19;11;13;3;3;19;22;90;15;37;10;27;18;23;"Crvena Zvezda mts Belgrade";1
213;"Fenerbahce Beko Istanbul";200;77;12;18;30;17;7;10;0;1;17;24;90;20;36;6;24;19;22;"Maccabi FOX Tel Aviv";1
214;"FC Bayern Munich";200;59;11;23;34;15;12;17;5;3;23;18;61;19;34;3;22;12;17;"Valencia Basket";1
215;"Panathinaikos OPAP Athens";200;96;16;24;40;17;14;20;4;2;21;22;112;19;35;12;28;22;28;"Zenit St Petersburg";1
216;"FC Barcelona";200;84;6;27;33;19;7;13;1;3;18;21;97;20;37;11;25;11;14;"AX Armani Exchange Milan";1
217;"Zenit St Petersburg";200;81;12;23;35;22;6;17;3;2;18;20;99;22;35;9;25;10;12;"ALBA Berlin";1
218;"Olympiacos Piraeus";200;77;8;28;36;17;10;15;1;0;18;30;101;15;33;7;16;26;36;"LDLC ASVEL Villeurbanne";1
219;"Fenerbahce Beko Istanbul";200;65;8;12;20;11;7;14;0;4;16;20;51;17;37;5;19;16;20;"Real Madrid";1
22;"Maccabi FOX Tel Aviv";225;84;6;32;38;19;13;18;4;2;26;26;100;27;41;5;18;15;26;"Crvena Zvezda mts Belgrade";1
220;"AX Armani Exchange Milan";200;69;9;24;33;14;6;8;1;3;20;22;73;23;43;3;21;14;17;"Khimki Moscow Region";1
221;"KIROLBET Baskonia Vitoria-Gasteiz";200;60;6;16;22;16;4;12;3;2;22;19;55;20;37;5;20;5;6;"Zalgiris Kaunas";1
222;"Crvena Zvezda mts Belgrade";200;81;7;20;27;13;6;11;2;3;25;20;74;21;39;7;20;18;23;"CSKA Moscow";1
223;"FC Bayern Munich";200;63;8;19;27;16;6;15;0;2;16;15;60;21;38;5;16;6;12;"Anadolu Efes Istanbul";1
224;"Panathinaikos OPAP Athens";200;81;8;29;37;19;8;15;5;0;21;18;94;24;37;6;28;15;18;"FC Barcelona";1
225;"Valencia Basket";200;82;11;24;35;16;5;10;1;2;15;20;95;20;39;10;25;12;15;"Maccabi FOX Tel Aviv";1
226;"Real Madrid";200;96;10;27;37;24;8;5;2;4;19;24;123;21;34;10;31;24;30;"Panathinaikos OPAP Athens";1
227;"CSKA Moscow";200;80;8;25;33;14;8;14;2;1;20;20;89;18;36;11;24;11;13;"FC Barcelona";1
228;"Zenit St Petersburg";200;68;10;21;31;19;8;8;3;7;19;18;73;23;37;5;30;7;8;"FC Bayern Munich";1
229;"ALBA Berlin";200;86;7;17;24;21;8;13;3;3;17;19;92;20;32;12;31;10;15;"Anadolu Efes Istanbul";1
23;"FC Bayern Munich";200;104;12;24;36;24;10;9;4;6;18;21;138;31;55;10;12;12;14;"LDLC ASVEL Villeurbanne";1
230;"Maccabi FOX Tel Aviv";200;71;6;24;30;14;12;14;1;4;21;18;67;15;32;10;30;11;14;"Olympiacos Piraeus";1
231;"KIROLBET Baskonia Vitoria-Gasteiz";200;71;6;31;37;14;7;10;2;0;18;21;89;21;35;6;20;11;18;"Crvena Zvezda mts Belgrade";1
232;"Khimki Moscow Region";200;108;10;20;30;26;10;8;2;3;19;22;137;24;39;16;30;12;14;"LDLC ASVEL Villeurbanne";1
233;"Zalgiris Kaunas";225;105;10;22;32;23;6;9;1;1;19;26;133;25;41;10;20;25;30;"AX Armani Exchange Milan";1
234;"Valencia Basket";200;86;7;15;22;21;7;9;0;0;14;22;104;14;25;14;31;16;19;"Fenerbahce Beko Istanbul";1
235;"CSKA Moscow";200;86;10;24;34;12;7;15;4;2;17;23;94;15;34;12;25;20;26;"Zenit St Petersburg";1
236;"Zalgiris Kaunas";200;96;3;23;26;29;6;9;2;1;20;21;125;23;32;14;28;8;10;"Khimki Moscow Region";1
237;"Olympiacos Piraeus";200;81;7;27;34;12;6;17;2;0;21;20;86;22;38;9;21;10;13;"Panathinaikos OPAP Athens";1
238;"LDLC ASVEL Villeurbanne";200;72;10;25;35;16;8;12;4;5;24;19;77;18;31;7;26;15;19;"Valencia Basket";1
239;"AX Armani Exchange Milan";200;73;5;26;31;8;9;13;5;5;18;20;73;14;34;10;24;15;18;"Real Madrid";1
24;"Panathinaikos OPAP Athens";200;78;15;27;42;11;3;7;4;1;15;17;91;30;52;3;20;9;11;"AX Armani Exchange Milan";1
240;"Fenerbahce Beko Istanbul";200;66;5;23;28;13;8;10;2;0;17;20;74;16;32;7;22;13;18;"Crvena Zvezda mts Belgrade";1
241;"ALBA Berlin";200;80;15;23;38;15;1;14;2;2;23;19;73;20;42;9;26;13;17;"FC Barcelona";1
242;"Maccabi FOX Tel Aviv";200;77;15;27;42;13;3;9;1;3;19;13;75;22;40;8;29;9;13;"Anadolu Efes Istanbul";1
243;"FC Bayern Munich";200;71;7;14;21;17;11;19;0;1;22;20;67;18;31;9;24;8;11;"KIROLBET Baskonia Vitoria-Gasteiz";1
244;"Zenit St Petersburg";225;76;13;22;35;15;6;11;2;3;20;25;83;21;43;7;19;13;21;"Zalgiris Kaunas";1
245;"Panathinaikos OPAP Athens";200;66;16;23;39;14;6;9;2;4;21;25;65;13;37;7;30;19;25;"CSKA Moscow";1
246;"Real Madrid";200;87;7;30;37;20;5;17;4;3;21;28;107;18;28;10;23;21;31;"LDLC ASVEL Villeurbanne";1
247;"Valencia Basket";225;81;12;30;42;15;6;13;1;3;20;24;89;19;43;9;26;16;19;"AX Armani Exchange Milan";1
248;"Khimki Moscow Region";200;82;9;25;34;22;4;11;2;3;16;18;101;20;34;11;28;9;9;"Fenerbahce Beko Istanbul";1
249;"Anadolu Efes Istanbul";200;91;5;20;25;20;11;8;1;0;18;21;109;17;31;14;31;15;18;"Olympiacos Piraeus";1
25;"Olympiacos Piraeus";225;68;16;28;44;13;6;16;2;2;23;22;65;18;37;6;30;14;20;"Zenit St Petersburg";1
250;"Crvena Zvezda mts Belgrade";200;92;13;21;34;23;6;14;2;3;23;24;100;18;39;13;23;17;27;"Maccabi FOX Tel Aviv";1
251;"FC Barcelona";200;83;14;23;37;17;6;12;3;2;22;30;98;12;28;11;31;26;32;"FC Bayern Munich";1
252;"KIROLBET Baskonia Vitoria-Gasteiz";200;73;10;22;32;21;9;14;2;4;18;22;86;25;45;4;15;11;17;"ALBA Berlin";1
26;"FC Barcelona";200;103;17;31;48;24;8;19;4;2;24;27;129;25;43;12;28;17;23;"ALBA Berlin";1
27;"Valencia Basket";200;78;13;21;34;23;7;14;0;4;20;14;82;27;43;7;27;3;3;"Anadolu Efes Istanbul";1
28;"Zenit St Petersburg";200;79;16;22;38;20;7;15;3;4;18;19;85;20;35;9;30;12;20;"Panathinaikos OPAP Athens";1
29;"Anadolu Efes Istanbul";200;76;12;32;44;15;9;11;2;6;20;17;84;21;42;8;26;10;13;"Real Madrid";1
3;"FC Bayern Munich";200;78;8;33;41;16;8;10;2;3;20;23;92;23;47;6;20;14;19;"AX Armani Exchange Milan";1
30;"Maccabi FOX Tel Aviv";200;76;11;28;39;19;6;8;0;1;27;17;81;22;40;9;27;5;9;"Valencia Basket";1
31;"FC Bayern Munich";200;74;11;19;30;12;7;19;2;2;20;21;68;17;35;9;24;13;17;"Khimki Moscow Region";1
32;"Crvena Zvezda mts Belgrade";200;65;10;22;32;16;12;21;3;3;20;21;66;19;35;6;22;9;16;"FC Barcelona";1
33;"Zalgiris Kaunas";200;70;8;28;36;12;2;15;3;5;22;23;76;16;29;8;19;14;18;"LDLC ASVEL Villeurbanne";1
