"MatchId";"Opponent";"Team";"Min.x";"Pts";"O";"D";"T";"As";"St";"To";"Fv";"Ag";"Cm";"Rv";"PIR";"x2M";"x2A";"x3M";"x3A";"FTM";"FTA";"Local";"Min.y";"Pts_Opp";"O_Opp";"D_Opp";"T_Opp";"As_Opp";"St_Opp";"To_Opp";"Fv_Opp";"Ag_Opp";"Cm_Opp";"Rv_Opp";"PIR_Opp";"x2M_Opp";"x2A_Opp";"x3M_Opp";"x3A_Opp";"FTM_Opp";"FTA_Opp";"Poss";"Off_Rat";"Def_Rat";"eFG";"eFG_Opp";"TS";"TS_Opp";"Off_Reb";"Def_Reb";"Pct_ass";"Pct_ass_opp";"Pct_To";"Pct_To_opp";"FTR";"FTR_opp";"Win";"Expected_Wins";"Off_Reb_Opp"
113;"Olympiacos Piraeus";"Real Madrid";200;93;10;21;31;17;4;12;1;0;16;18;100;18;34;15;33;12;14;1;200;77;6;25;31;18;7;19;0;1;18;15;80;22;41;9;17;6;9;74,6;1,24664879356568;1,03217158176944;0,604477611940298;0,612068965517241;1,27118644067797;1,24273724983861;0,285714285714286;0,777777777777778;0,227882037533512;0,241286863270778;0,160857908847185;0,254691689008043;0,17910447761194;0,103448275862069;1;0,933585490994309;0,222222222222222
113;"Real Madrid";"Olympiacos Piraeus";200;77;6;25;31;18;7;19;0;1;18;15;80;22;41;9;17;6;9;0;200;93;10;21;31;17;4;12;1;0;16;18;100;18;34;15;33;12;14;74,6;1,03217158176944;1,24664879356568;0,612068965517241;0,604477611940298;1,24273724983861;1,27118644067797;0,222222222222222;0,714285714285714;0,241286863270778;0,227882037533512;0,254691689008043;0,160857908847185;0,103448275862069;0,17910447761194;0;0,0664145090056909;0,285714285714286
114;"Valencia Basket";"Zalgiris Kaunas";200;82;9;15;24;18;9;12;0;1;20;19;89;28;41;6;21;8;10;1;200;86;8;18;26;21;2;15;1;0;20;20;93;17;23;13;29;13;19;69;1,18840579710145;1,2463768115942;0,596774193548387;0,701923076923077;1,23493975903614;1,42478462557985;0,333333333333333;0,652173913043478;0,260869565217391;0,304347826086957;0,173913043478261;0,217391304347826;0,129032258064516;0,25;0;0,339215383675354;0,347826086956522
114;"Zalgiris Kaunas";"Valencia Basket";200;86;8;18;26;21;2;15;1;0;20;20;93;17;23;13;29;13;19;0;200;82;9;15;24;18;9;12;0;1;20;19;89;28;41;6;21;8;10;66,6;1,29129129129129;1,23123123123123;0,701923076923077;0,596774193548387;1,42478462557985;1,23493975903614;0,347826086956522;0,666666666666667;0,315315315315315;0,27027027027027;0,225225225225225;0,18018018018018;0,25;0,129032258064516;1;0,660784616324646;0,333333333333333
115;"FC Bayern Munich";"Zenit St Petersburg";200;69;18;15;33;12;4;12;1;1;20;24;61;14;31;10;36;11;17;0;200;77;7;26;33;16;6;16;1;1;24;20;88;19;35;8;14;15;17;67,8;1,01769911504425;1,13569321533923;0,432835820895522;0,63265306122449;0,926423200859291;1,36331444759207;0,409090909090909;0,681818181818182;0,176991150442478;0,23598820058997;0,176991150442478;0,23598820058997;0,164179104477612;0,306122448979592;0;0,177148870467946;0,318181818181818
115;"Zenit St Petersburg";"FC Bayern Munich";200;77;7;26;33;16;6;16;1;1;24;20;88;19;35;8;14;15;17;1;200;69;18;15;33;12;4;12;1;1;20;24;61;14;31;10;36;11;17;64,8;1,18827160493827;1,06481481481481;0,63265306122449;0,432835820895522;1,36331444759207;0,926423200859291;0,318181818181818;0,590909090909091;0,246913580246914;0,185185185185185;0,246913580246914;0,185185185185185;0,306122448979592;0,164179104477612;1;0,822851129532054;0,409090909090909
116;"AX Armani Exchange Milan";"LDLC ASVEL Villeurbanne";200;89;15;24;39;15;6;8;2;2;26;22;97;23;43;8;22;19;25;1;200;82;6;22;28;22;4;10;2;2;23;26;97;17;37;8;15;24;29;68;1,30882352941176;1,20588235294118;0,538461538461538;0,557692307692308;1,17105263157895;1,266213712168;0,405405405405405;0,8;0,220588235294118;0,323529411764706;0,117647058823529;0,147058823529412;0,292307692307692;0,461538461538462;1;0,758933204587593;0,2
116;"LDLC ASVEL Villeurbanne";"AX Armani Exchange Milan";200;82;6;22;28;22;4;10;2;2;23;26;97;17;37;8;15;24;29;0;200;89;15;24;39;15;6;8;2;2;26;22;97;23;43;8;22;19;25;67,6;1,21301775147929;1,31656804733728;0,557692307692308;0,538461538461538;1,266213712168;1,17105263157895;0,2;0,594594594594595;0,325443786982249;0,22189349112426;0,14792899408284;0,118343195266272;0,461538461538462;0,292307692307692;0;0,241066795412407;0,405405405405405
117;"FC Barcelona";"Panathinaikos OPAP Athens";200;86;6;20;26;19;7;9;1;1;22;16;89;26;38;7;23;13;19;0;200;98;13;26;39;20;4;11;1;1;16;22;120;22;35;13;32;15;19;71,6;1,20111731843575;1,36871508379888;0,598360655737705;0,619402985074627;1,239907727797;1,30042462845011;0,1875;0,606060606060606;0,26536312849162;0,279329608938548;0,125698324022346;0,153631284916201;0,213114754098361;0,223880597014925;0;0,138395293308917;0,393939393939394
117;"Panathinaikos OPAP Athens";"FC Barcelona";200;98;13;26;39;20;4;11;1;1;16;22;120;22;35;13;32;15;19;1;200;86;6;20;26;19;7;9;1;1;22;16;89;26;38;7;23;13;19;72,6;1,34986225895317;1,18457300275482;0,619402985074627;0,598360655737705;1,30042462845011;1,239907727797;0,393939393939394;0,8125;0,275482093663912;0,261707988980716;0,151515151515152;0,12396694214876;0,223880597014925;0,213114754098361;1;0,861604706691082;0,1875
